"codigo","data","motorPressaoSkidA","motorPressaoSkidB","motorTransferenciaSkidA","motorTransferenciaSkidB","motorVacuo","portaUsina","status","usinada"
1,"2016-05-11 16:20:45",0,0,0,0,0,0,"FechamentoDeporta",2
2,"2016-05-11 16:20:45",0,0,1,0,0,1,"enchimento",2
3,"2016-05-11 16:20:45",0,0,0,0,1,1,"null",2
4,"2016-05-11 16:20:45",1,0,0,0,0,1,"pressao",2
5,"2016-05-11 16:20:45",0,0,0,1,0,1,"null",2
6,"2016-05-11 16:20:45",0,0,1,0,0,1,"enchimento",2
7,"2016-05-11 16:20:45",0,0,0,0,0,0,"FechamentoDeporta",2
8,"2016-05-11 16:20:58",1,0,0,0,0,0,"pressao",
9,"2016-05-11 16:22:49",1,0,0,0,0,1,"pressao",
10,"2016-05-11 16:22:56",1,0,0,0,0,0,"pressao",
11,"2016-05-11 16:27:06",0,0,0,0,0,0,"FechamentoDeporta",
12,"2016-05-11 16:27:16",0,0,1,0,0,0,"enchimento",
13,"2016-05-11 16:29:16",0,0,1,0,0,1,"enchimento",
14,"2016-05-11 16:29:26",0,0,1,0,0,0,"enchimento",
15,"2016-05-11 16:31:06",0,0,1,0,0,1,"enchimento",
16,"2016-05-11 16:31:16",0,0,1,0,0,0,"enchimento",
17,"2016-05-11 16:32:55",0,0,0,0,1,0,"vacuoInicial",
18,"2016-05-11 16:33:26",0,0,0,0,1,1,"null",
19,"2016-05-11 16:33:36",0,0,0,0,1,0,"vacuoInicial",
20,"2016-05-11 16:34:06",0,0,0,0,1,1,"null",
21,"2016-05-11 16:34:16",0,0,0,0,1,0,"vacuoInicial",
22,"2016-05-11 16:34:46",0,0,0,0,1,1,"null",
23,"2016-05-11 16:34:56",0,0,0,0,1,0,"vacuoInicial",
24,"2016-05-11 16:35:26",0,0,0,0,1,1,"null",
25,"2016-05-11 16:35:36",0,0,0,0,1,0,"vacuoInicial",
26,"2016-05-11 16:36:46",0,0,0,0,1,1,"null",
27,"2016-05-11 16:37:06",0,0,0,0,1,0,"vacuoInicial",
28,"2016-05-11 16:37:37",0,0,0,0,1,1,"null",
29,"2016-05-11 16:37:37",0,0,0,0,1,0,"vacuoInicial",
30,"2016-05-11 16:43:42",0,0,0,0,1,1,"null",
31,"2016-05-11 16:43:52",0,0,0,0,1,0,"vacuoInicial",
32,"2016-05-11 16:44:22",0,0,0,0,1,1,"null",
33,"2016-05-11 16:44:32",0,0,0,0,1,0,"vacuoInicial",
34,"2016-05-11 16:47:52",0,0,0,0,1,1,"null",
35,"2016-05-11 16:48:02",0,0,0,0,1,0,"vacuoInicial",
36,"2016-05-11 16:48:32",0,0,0,0,1,1,"null",
37,"2016-05-11 16:48:42",0,0,0,0,1,0,"vacuoInicial",
38,"2016-05-11 16:49:12",0,0,0,0,1,1,"null",
39,"2016-05-11 16:49:22",0,0,0,0,1,0,"vacuoInicial",
40,"2016-05-11 16:49:52",0,0,0,0,1,1,"null",
41,"2016-05-11 16:50:02",0,0,0,0,1,0,"vacuoInicial",
42,"2016-05-11 16:52:12",0,0,1,0,1,0,"enchimento",
43,"2016-05-11 16:52:22",0,0,1,0,0,0,"enchimento",
44,"2016-05-11 16:52:42",0,0,0,0,0,0,"FechamentoDeporta",
45,"2016-05-11 16:53:02",0,0,0,0,0,1,"(AberturaDePorta)",
